launch_name,payloads,rocket_name,launchpad_name,launchpad_region,launchpad_geo,landpad_name,landpad_type,landpad_region,landpad_geo,outcome
CRS-5,"{'type': 'Dragon 1.1', 'mass': 2395, 'orbit': 'ISS'}",Falcon 9,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",JRTI-1,ASDS,Florida,"(28.4104, -80.6188)",Success
CRS-6,"{'type': 'Dragon 1.1', 'mass': 1898, 'orbit': 'ISS'}",Falcon 9,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",JRTI-1,ASDS,Florida,"(28.4104, -80.6188)",Success
CRS-7,"{'type': 'Dragon 1.1', 'mass': 1952, 'orbit': 'ISS'}",Falcon 9,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",OCISLY,ASDS,California,"(33.7291858, -118.262015)",Failure
OG-2 Mission 2,"{'type': 'Satellite', 'mass': 2034, 'orbit': 'LEO'}",Falcon 9,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",LZ-1,RTLS,Florida,"(28.485833, -80.544444)",Success
Jason 3,"{'type': 'Satellite', 'mass': 553, 'orbit': 'PO'}",Falcon 9,VAFB SLC 4E,California,"(34.632093, -120.610829)",JRTI,ASDS,Florida,"(28.4104, -80.6188)",Success
SES-9,"{'type': 'Satellite', 'mass': 5271, 'orbit': 'GTO'}",Falcon 9,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",OCISLY,ASDS,California,"(33.7291858, -118.262015)",Success
CRS-8,"{'type': 'Dragon 1.1', 'mass': 3136, 'orbit': 'ISS'}",Falcon 9,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",OCISLY,ASDS,California,"(33.7291858, -118.262015)",Success
JCSAT-2B,"{'type': 'Satellite', 'mass': 4696, 'orbit': 'GTO'}",Falcon 9,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",OCISLY,ASDS,California,"(33.7291858, -118.262015)",Success
Thaicom 8,"{'type': 'Satellite', 'mass': 3100, 'orbit': 'GTO'}",Falcon 9,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",OCISLY,ASDS,California,"(33.7291858, -118.262015)",Success
ABS-2A / Eutelsat 117W B,"{'type': 'Satellite', 'mass': 3600, 'orbit': 'GTO'}",Falcon 9,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",OCISLY,ASDS,California,"(33.7291858, -118.262015)",Success
