uct_time,launch_name,payloads,rocket_name,rocket_boosters,rocket_height,rocket_diameter,rocket_mass,launchpad_name,launchpad_region,launchpad_geo,landpad_name,landpad_type,landpad_region,landpad_geo,outcome
2006-03-24 22:30:00+00:00,FalconSat,"[{'type': 'Satellite', 'mass': 20, 'orbit': 'LEO'}]",Falcon 1,0,22.25,1.68,30146.0,Kwajalein Atoll,Marshall Islands,"(9.0477206, 167.7431292)",,,,"(nan, nan)",Failure
2007-03-21 01:10:00+00:00,DemoSat,"[{'type': 'Satellite', 'mass': None, 'orbit': 'LEO'}]",Falcon 1,0,22.25,1.68,30146.0,Kwajalein Atoll,Marshall Islands,"(9.0477206, 167.7431292)",,,,"(nan, nan)",Failure
2008-08-03 03:34:00+00:00,Trailblazer,"[{'type': 'Satellite', 'mass': None, 'orbit': 'LEO'}, {'type': 'Satellite', 'mass': None, 'orbit': 'LEO'}]",Falcon 1,0,22.25,1.68,556404.5416666666,Kwajalein Atoll,Marshall Islands,"(9.0477206, 167.7431292)",,,,"(nan, nan)",Failure
2008-09-28 23:15:00+00:00,RatSat,"[{'type': 'Satellite', 'mass': 165, 'orbit': 'LEO'}]",Falcon 1,0,22.25,1.68,556404.5416666666,Kwajalein Atoll,Marshall Islands,"(9.0477206, 167.7431292)",,,,"(nan, nan)",Success
2009-07-13 03:35:00+00:00,RazakSat,"[{'type': 'Satellite', 'mass': 200, 'orbit': 'LEO'}]",Falcon 1,0,22.25,1.68,30146.0,Kwajalein Atoll,Marshall Islands,"(9.0477206, 167.7431292)",,,,"(nan, nan)",Success
2010-06-04 18:45:00+00:00,Falcon 9 Test Flight,"[{'type': 'Dragon Boilerplate', 'mass': None, 'orbit': 'LEO'}]",Falcon 9,0,70.0,3.7,549054.0,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",,,,"(nan, nan)",Success
2010-12-08 15:43:00+00:00,COTS 1,"[{'type': 'Dragon 1.0', 'mass': None, 'orbit': 'LEO'}, {'type': 'Satellite', 'mass': None, 'orbit': 'LEO'}]",Falcon 9,0,70.0,3.806944444444444,556404.5416666666,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",,,,"(nan, nan)",Success
2012-05-22 07:44:00+00:00,COTS 2,"[{'type': 'Dragon 1.0', 'mass': 525, 'orbit': 'LEO'}]",Falcon 9,0,70.0,3.806944444444444,549054.0,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",,,,"(nan, nan)",Success
2012-10-08 00:35:00+00:00,CRS-1,"[{'type': 'Dragon 1.0', 'mass': 4700, 'orbit': 'ISS'}, {'type': 'Dragon 1.0', 'mass': 400, 'orbit': 'LEO'}]",Falcon 9,0,70.0,3.7,549054.0,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",,,,"(nan, nan)",Success
2013-03-01 19:10:00+00:00,CRS-2,"[{'type': 'Dragon 1.0', 'mass': 4877, 'orbit': 'ISS'}]",Falcon 9,0,70.0,3.7,556404.5416666666,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",,,,"(nan, nan)",Success
2013-09-29 16:00:00+00:00,CASSIOPE,"[{'type': 'Satellite', 'mass': 500, 'orbit': 'PO'}]",Falcon 9,0,70.0,3.7,549054.0,VAFB SLC 4E,California,"(34.632093, -120.610829)",,Ocean,,"(nan, nan)",Success
2013-12-03 22:41:00+00:00,SES-8,"[{'type': 'Satellite', 'mass': 3170, 'orbit': 'GTO'}]",Falcon 9,0,70.0,3.7,549054.0,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",,,,"(nan, nan)",Success
2014-01-06 18:06:00+00:00,Thaicom 6,"[{'type': 'Satellite', 'mass': 3325, 'orbit': 'GTO'}]",Falcon 9,0,70.0,3.7,549054.0,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",,,,"(nan, nan)",Success
2014-04-18 19:25:00+00:00,CRS-3,"[{'type': 'Dragon 1.1', 'mass': 2296, 'orbit': 'ISS'}]",Falcon 9,0,70.0,3.7,549054.0,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",,Ocean,,"(nan, nan)",Success
2014-07-14 15:15:00+00:00,OG-2 Mission 1,"[{'type': 'Satellite', 'mass': 1316, 'orbit': 'LEO'}]",Falcon 9,0,70.0,3.806944444444444,556404.5416666666,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",,Ocean,,"(nan, nan)",Success
2014-08-05 08:00:00+00:00,AsiaSat 8,"[{'type': 'Satellite', 'mass': 4535, 'orbit': 'GTO'}]",Falcon 9,0,70.0,3.7,549054.0,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",,,,"(nan, nan)",Success
